"Gene_Name","logFC","PValue","FDR"
"ANAPC10",0.431200724567981,0.000566181102665714,0.00117226797258793
"CGGBP1",-0.749312325453512,0.000566359229997741,0.00117243765883893
"SPINT1",0.311639952993053,0.000567229616462427,0.00117404011108547
"URB2",0.181230486841701,0.000567976045741707,0.00117538549883503
"TMEM184A",-1.30970510645401,0.000568832886613632,0.00117695887995702
"DMAP1",-0.452326638007193,0.000569134825461159,0.00117738378706889
"ZDHHC20",0.406640605144051,0.000569373976270519,0.00117767868081335
"NAA16",0.227919614262551,0.00056981668008777,0.00117839442696353
"ANKS6",-0.428810890887447,0.000571956719358386,0.00118257228053734
"SMAD7",0.218762134732723,0.000572030902988161,0.00118257228053734
"EPB41L4B",-1.57549099601191,0.000572969471804912,0.00118431177191822
"PCCB",1.23554183053165,0.000574294640377023,0.0011868496288924
"KLHL28",-0.305732850547704,0.00057940705980611,0.00119721211289768
"ZNF668",-0.946551925357857,0.00058095107003464,0.00120019903317951
"CIT",0.233816495524608,0.00058123963445593,0.00120059172884653
"ITGA5",-0.286253704368012,0.000581556376873064,0.00120104248525487
"PRDX5",-0.257819571140248,0.000582466051816235,0.00120271741830822
"AGL",-0.438700000159633,0.000583379987984774,0.00120440058146018
"C6orf48",0.542348740733753,0.000584070325844456,0.00120562162925326
"CBY1",-0.244373209097039,0.00058422734561572,0.00120574158970734
"AVPI1",0.488777964242084,0.000584920049496767,0.00120696687938644
"SLC22A31",0.386141010281736,0.000585529829424827,0.00120802067194416
"GPR75-ASB3",-0.217098973715825,0.000585887739771867,0.00120855455762417
"SEC61G",-0.176081341503359,0.000586428385021941,0.00120946513987523
"SKP1",-0.178052401384471,0.000586561813957654,0.00120953570263156
"FAM98A",-0.626330358159848,0.000587411800530961,0.00121108358874902
"HSD11B1L",-0.202346417264858,0.000589176805249831,0.00121451715130211
"TMEM68",-0.303415180688568,0.000589674601841936,0.00121533779730432
"PKN1",0.188080069191061,0.000590777345761486,0.00121740477048314
"IGF2R",0.340928583892699,0.000593643898598847,0.00122310508159854
"ABHD17B",1.54724107574341,0.000594204251190748,0.00122405272495208
"SLC26A11",0.226185306146698,0.000594400745902507,0.00122425063242059
"CPM",1.28808525318548,0.000595752015912948,0.00122682649087749
"DYNLL1",-0.322825126312185,0.000596446864847409,0.0012280499458461
"TVP23C-CDRT4",-0.316320143865082,0.000599206588729048,0.00123352024518173
"PEMT",-0.285479966479175,0.000599317707135368,0.00123352024518173
"ASAH1",-0.761306498188599,0.000599407262116032,0.00123352024518173
"MYO5B",1.41181523981891,0.000600183764171893,0.00123490975004549
"DNAJC15",-0.5357967197641,0.000600598483082437,0.00123555452366824
"XPO4",0.312116192826041,0.000602547938346955,0.00123935581514893
"C9orf40",-0.30063220596271,0.000602713880818037,0.00123948800962427
"SUCLG1",0.215994975016373,0.000603002782807063,0.00123987298451693
"BAG3",-0.208994185882032,0.000604883680604403,0.00124341047957654
"LMNB2",0.358176973884299,0.000604927204853454,0.00124341047957654
"PDE12",0.201942976802725,0.000606305672689308,0.00124603379227164
"C16orf91",-1.09028353912816,0.000607732850848074,0.0012487563095717
"UTP11",-0.516078345768135,0.000608642549213717,0.0012504147821814
"FRMD6",-0.273608590779438,0.000610596045275203,0.00125421674607414
"ZBTB6",0.221129904037832,0.000612040502174626,0.00125697199494792
"EEF2",-0.436520028436239,0.000612629223724853,0.00125796915385375
"SERBP1",-0.969750147432479,0.00061316996375101,0.00125886746852283
"THAP7",0.20548813247887,0.000613588348459674,0.00125951432161507
"AQP3",-0.344160208871261,0.000614839891609079,0.00126187089538826
"RABAC1",-0.211904870703812,0.000615132536866726,0.00126225900638651
"PTPRK",-0.302303845133423,0.00062173581155935,0.00127559429126894
"HAUS5",-0.449105717762212,0.000623737234882024,0.00127948521461329
"DNAJB12",-0.360803206535271,0.000624086637308534,0.00127998657392805
"RCE1",-0.166015442549597,0.000625540459788348,0.00128275252233469
"SPATS2L",-0.431022599190767,0.000625759763565606,0.00128298642408818
"KCTD3",0.276798371843665,0.000626645939198947,0.00128458729523699
"ILF3",-0.311178797728524,0.000628847364150748,0.00128888335850063
"MROH1",-0.237614444011918,0.000630371795892799,0.00129179064779444
"OLFML2A",-0.319677336789711,0.000631816718741619,0.00129438018923059
"C22orf39",-0.494025362866498,0.000631847798056864,0.00129438018923059
"CDR2L",0.553719494091038,0.000632430616724407,0.00129535645975928
"OXCT2",0.271886909589589,0.000634413423416927,0.00129909814246883
"CLSPN",-0.227245963213158,0.000634470538943433,0.00129909814246883
